Krankenwagen,ambulanza
Korn,grano
jüdisch,ebraico
darauf,dopodiché
anwenden,adoperare
trösten,consolare
bewusst,consapevole
Führer,guida
taub,sordo
willkürlich,arbitrario
zustimmen,approvare
Gefängnis,prigione
Finsternis,oscurità
warten,aspettare
Entschuldigung,scusa
mächtig,potente
aussprechen,esprimere
Hochhaus,grattacielo
schwer,pesante
schließen,chiudere
Schwelle,soglia
spritzen,spruzzare
ewig,eterno
zittern,tremare
Roller,monopattino
heizen,riscaldare
hinein,dentro
stumm,muto
Supermarkt,supermercato
enttäuschen,deludere
Zettel,biglietto
sagen,dire
löschen,cancellare
einladen,invitare
dadurch,quindi
hinunter,in basso
Reihe,fila
Dutzend,dozzina
abstand,distanza
hinzufügen,aggiungere
schief,storto
wenden,girare
Rodung,disboscamento
Hähnchen,pollo
beweisen,provare
Prämie,premio
ausrutschen,scivolare
Splitter,scheggia
Transport,trasporto
Silber,argento
