ungeheuer,immenso
Bodenschätze,risorse
Scheibe,disco
ablagerung,sedimento
giftig,velenoso
Kragen,colletto
Strick,corda
Fortschritt,progresso
Schluss,fine
Taxifahrer,tassista
Kreis,cerchio
kaufen,comprare
wütend,furioso
spielen,giocare
liefern,fornire
unterhalb,al di sotto di
verzichten,rinunciare
nüchtern,sobrio
einschließen,rinchiudere
aufhalten,trattenere
Hose,pantaloni
Kabel,cavo
Oktober,ottobre
bestätigen,confermare
ausstrecken,distendere
Güter,beni
Koch,cuoco
erstrecken,estendersi
Woche,settimana
bewegen,muovere
fluchen,bestemmiare
Hundewetter,tempo da cani
Wunde,ferita
wachsen,crescere
niesen,starnutire
Spinne,ragno
Werkstatt,officina
Rate,rata
Pfeife,pipa
Kasten,scatola
stattfinden,avere luogo
dünn,magro
krank,malato
übersichtlich,chiaro
Klingel,campanello
Protest,protesta
Brett,asse
Haushalt,economia domestica
befriedigen,accontentare
sechzehn,sedici
